frequency	alpha	beta
1.477361072e+10	1.959024	424.365169
1.479561312e+10	1.960804	424.997232
1.481761552e+10	1.963484	425.629278
1.483961792e+10	1.966814	426.261353
1.486162032e+10	1.969455	426.892626
1.488362272e+10	1.9729	427.522045
1.490562513e+10	1.974251	428.152911
1.492762753e+10	1.97439	428.781672
1.494962993e+10	1.975322	429.41092
1.497163233e+10	1.977333	430.044552
1.499363473e+10	1.979089	430.675974
1.501563713e+10	1.982631	431.309323
1.503763953e+10	1.985273	431.940947
1.505964193e+10	1.989285	432.572688
1.508164433e+10	1.992333	433.20158
1.510364673e+10	1.997446	433.831942
1.512564913e+10	1.999622	434.460693
1.514765153e+10	1.998447	435.091584
1.516965393e+10	1.999885	435.718839
1.519165633e+10	2.000589	436.349526
1.521365873e+10	2.000319	436.982637
1.523566113e+10	2.003056	437.61246
1.525766353e+10	2.004249	438.243531
1.527966593e+10	2.007894	438.874625
1.530166833e+10	2.010756	439.503663
1.532367073e+10	2.013395	440.132221
1.534567313e+10	2.015845	440.76303
1.536767554e+10	2.016963	441.392725
1.538967794e+10	2.018526	442.023361
1.541168034e+10	2.021007	442.655239
1.543368274e+10	2.020466	443.287736
1.545568514e+10	2.022003	443.924102
1.547768754e+10	2.02593	444.553755
1.549968994e+10	2.027795	445.187685
1.552169234e+10	2.030937	445.818954
1.554369474e+10	2.033218	446.453426
1.556569714e+10	2.036675	447.086612
1.558769954e+10	2.039273	447.718257
1.560970194e+10	2.040046	448.349902
1.563170434e+10	2.041337	448.982789
1.565370674e+10	2.045861	449.616382
1.567570914e+10	2.048586	450.248528
1.569771154e+10	2.052324	450.879522
1.571971394e+10	2.055375	451.512091
1.574171634e+10	2.059048	452.144836
1.576371874e+10	2.062583	452.775719
1.578572114e+10	2.06673	453.408412
1.580772354e+10	2.068912	454.041752
1.582972595e+10	2.069719	454.675292
1.585172835e+10	2.072383	455.310849
1.587373075e+10	2.074567	455.945475
1.589573315e+10	2.079372	456.58185
1.591773555e+10	2.08376	457.215301
1.593973795e+10	2.086508	457.851688
1.596174035e+10	2.093191	458.487671
1.598374275e+10	2.101387	459.123251
1.600574515e+10	2.11405	459.760061
1.602774755e+10	2.129887	460.389426
1.604974995e+10	2.145153	461.009586
1.607175235e+10	2.152533	461.624699
1.609375475e+10	2.148204	462.240761
1.611575715e+10	2.140093	462.862631
1.613775955e+10	2.132379	463.491111
1.615976195e+10	2.127123	464.125273
1.618176435e+10	2.120679	464.760856
1.620376675e+10	2.119309	465.390806
1.622576915e+10	2.118174	466.024744
1.624777155e+10	2.114702	466.657038
1.626977395e+10	2.113615	467.293176
1.629177636e+10	2.111466	467.932237
1.631377876e+10	2.113693	468.56457
1.633578116e+10	2.114935	469.199206
1.635778356e+10	2.115104	469.833472
1.637978596e+10	2.116416	470.472768
1.640178836e+10	2.120214	471.103824
1.642379076e+10	2.123756	471.737724
1.644579316e+10	2.127398	472.376205
1.646779556e+10	2.133391	473.009652
1.648979796e+10	2.1415	473.641873
1.651180036e+10	2.151451	474.266412
1.653380276e+10	2.159044	474.892064
1.655580516e+10	2.15896	475.517716
1.657780756e+10	2.159545	476.142527
1.659980996e+10	2.155698	476.769968
1.662181236e+10	2.149584	477.402479
1.664381476e+10	2.150151	478.030118
1.666581716e+10	2.147103	478.662186
1.668781956e+10	2.146735	479.295908
1.670982196e+10	2.146099	479.927464
1.673182436e+10	2.145911	480.558174
1.675382677e+10	2.145501	481.190826
1.677582917e+10	2.145881	481.824721
1.679783157e+10	2.147846	482.456286
1.681983397e+10	2.146722	483.091256
1.684183637e+10	2.151856	483.722221
1.686383877e+10	2.154445	484.353595
1.688584117e+10	2.157929	484.985715
1.690784357e+10	2.159534	485.617367
1.692984597e+10	2.161991	486.252467
1.695184837e+10	2.165015	486.882084
1.697385077e+10	2.170338	487.513343
1.699585317e+10	2.172189	488.147679
1.701785557e+10	2.174899	488.775116
1.703985797e+10	2.176596	489.40057
1.706186037e+10	2.177705	490.029976
1.708386277e+10	2.1783	490.661473
1.710586517e+10	2.179007	491.292248
1.712786757e+10	2.177291	491.925765
1.714986997e+10	2.179834	492.555433
1.717187237e+10	2.18222	493.187518
1.719387477e+10	2.184748	493.819322
1.721587718e+10	2.186876	494.452012
1.723787958e+10	2.188742	495.083764
1.725988198e+10	2.191019	495.715706
1.728188438e+10	2.193081	496.350236
1.730388678e+10	2.196565	496.980274
1.732588918e+10	2.197635	497.615263
1.734789158e+10	2.202533	498.243526
1.736989398e+10	2.205274	498.876256
1.739189638e+10	2.208659	499.509365
1.741389878e+10	2.211941	500.140598
1.743590118e+10	2.217246	500.770593
1.745790358e+10	2.222727	501.400949
1.747990598e+10	2.22467	502.029592
1.750190838e+10	2.226626	502.658235
1.752391078e+10	2.22537	503.287567
1.754591318e+10	2.224388	503.917676
1.756791558e+10	2.223463	504.549557
1.758991798e+10	2.223898	505.1824
1.761192038e+10	2.225085	505.817291
1.763392278e+10	2.226366	506.447718
1.765592519e+10	2.226931	507.080518
1.767792759e+10	2.229933	507.714107
1.769992999e+10	2.232075	508.346844
1.772193239e+10	2.233958	508.977457
1.774393479e+10	2.235072	509.611552
1.776593719e+10	2.238571	510.246393
1.778793959e+10	2.238706	510.881424
1.780994199e+10	2.244976	511.509229
1.783194439e+10	2.245714	512.140668
1.785394679e+10	2.250228	512.772181
1.787594919e+10	2.254783	513.403313
1.789795159e+10	2.258387	514.034149
1.791995399e+10	2.260131	514.662058
1.794195639e+10	2.26292	515.293778
1.796395879e+10	2.263254	515.923665
1.798596119e+10	2.26466	516.555592
